Subject;k;z1;z2;z3;zNW;a;noise (nl-DDM);sz (nl-DDM);nondectime (nl-DDM);vNW;v1;v2;v3;noise (DDM);B;x0;sz (DDM);nondectime (DDM);halfwidth
1;1.28857695;-0.99073648;-0.65889853;-0.56998149;-0.73025143;2.68259115;1.09907464;0.80776964;0.36715606;0.42757363748427235;0.8599477893238423;0.30292586916353714;0.23677911211896413;0.19649086236060712;0.10829800887953472;0.16070970527212758;0.016210008910097495;0.3910197037861575;0.034676377070905234
2;3.13450458;-0.60610967;-0.49341455;-0.30608309;-0.46741095;1.13785143;0.81634967;0.03902413;0.35908056;0.7916924379614156;0.9914514871586688;0.8450367966102811;0.5286423704585614;0.39416687280103857;0.3266703928433321;0.12111118445208868;0.023098371658349603;0.4623531443708388;0.07659737886098446
3;4.67400855;-0.65951253;-0.52015776;-0.35357629;-0.44490438;0.95999992;0.6419319;0.20349389;0.32167721;0.6147477846902891;0.9293429701207528;0.741177184770614;0.4918455196334359;0.30200244954194594;0.22961381717849993;0.05518903711418299;0.03297686496828317;0.4415259440484507;0.09258166925924084
4;7.20796491;-0.71002965;-0.54750323;-0.37397628;-0.47609561;0.97567857;0.67055205;0.3622871;0.29857539;0.6864702041865156;0.951675032549241;0.8763312541002517;0.5241028611836696;0.2766002615601446;0.1660168785606268;0.05341908817349261;0.07233109342557453;0.3669498394496981;0.046506597590883374
5;6.56664345;-0.86480583;-0.54965477;-0.43233208;-0.52174442;1.02057179;0.57290689;0.45951685;0.37402332;0.5840267837010793;1.0;0.5899272517002287;0.4626179870777357;0.25419621733430664;0.13681021293540202;0.25669236464699297;0.08101936012706046;0.4936074854717297;0.09930970940054751
6;3.19183744;-0.66876088;-0.44750008;-0.28561663;-0.44036095;1.41221156;1.14281963;0.26851101;0.32870698;0.5748872372554679;0.9777983018874611;0.6278915116092596;0.3303977914045584;0.27223290973349035;0.15660483918305718;0.07837798893596637;0.07408181625107602;0.4139792281081309;0.07267821293663065
7;1.62646988;-0.55075194;-0.3486165;-0.2030065;-0.29897459;1.84354535;1.17020625;0.31526883;0.22898094;0.4090468148683826;0.9315656503083329;0.6274468927056959;0.3583150080190636;0.2631996318501355;0.16297935644076705;-0.11086260227515798;0.0471224553746461;0.34040705346161193;0.11156465981623248
8;2.39524506;-0.5149068;-0.24310358;-0.0944413;-0.29964168;1.04000004;0.48083297;0.19312183;0.13025553;0.6325478672770652;1.0;0.5419111442857475;0.24055323375630755;0.45937196922450857;0.4539005081828884;-0.09369116606871097;0.09299499478770601;0.3671330815699889;0.19121048776570582
9;3.53502245;-0.48487478;-0.3610085;-0.22933262;-0.34810531;1.10816436;0.68877662;0.08398241;0.2749095;0.7090488555188718;0.9892040101625552;0.7363712710545791;0.3793673512546389;0.4836781506010972;0.3587105272763934;0.329916804491186;0.04935463382352595;0.4824323947958393;0.07534442896688014
10;9.97464956;-1.0;-0.93792156;-0.72339778;-0.91979829;0.95994862;0.12656839;0.98006902;0.36099673;0.4066983848468673;0.9035364900978773;0.4733686249062764;0.39599662700069804;0.23098155296700032;0.1502845981942026;0.21314870377067097;0.02796804125229002;0.39074323128519284;0.06290706066377096
11;2.90737948;-0.87101765;-0.45695205;-0.27065903;-0.4040134;1.55999995;1.36141592;0.24500917;0.3486856;0.47734239143324597;0.9717221505079401;0.5491037782503876;0.2943365903008926;0.19005859126538538;0.10437615308754383;-0.032546476692168924;0.05661089359165927;0.41734367057213295;0.07263119688887607
12;4.07274755;-1.0;-0.58440315;-0.54375392;-0.68089697;1.09500001;0.33960651;0.89180316;0.30809086;0.499056114483939;0.8407391648895213;0.4084458842406687;0.295251880066399;0.30169168541980096;0.2091629682000053;-0.06221744681411956;0.08123885017869509;0.3484281332938841;0.08049803283246171
13;1.28470517;-0.85804318;-0.77049039;-0.58645879;-0.76764449;1.99740362;0.44748758;0.91808253;0.36710568;0.7302696698455857;0.9542821970890386;0.8083167760308246;0.4015266196615397;0.5348999924333199;0.3988272365920533;0.10858191874806433;0.1718667629739462;0.4082220618259244;0.06333110014407348
14;2.21972098;-0.97272654;-0.76366484;-0.62456749;-0.74843465;1.35977952;0.24054907;0.82341253;0.30521875;0.535712520115226;0.9969678087887659;0.5895213140648428;0.33726658216004446;0.5005646877927055;0.44989653800556;0.409078909835328;0.10460420886218785;0.4528322618798814;0.0972856137941389
15;4.53404947;-0.79433579;-0.61113018;-0.35594175;-0.56121876;0.82999998;0.63824761;0.0242151;0.34677509;0.6567994676221489;0.918944064329575;0.7048981084126725;0.3922132269688911;0.3605351835236881;0.29000524948328554;0.09167489758997416;0.04903873452094376;0.4682420583277155;0.09345856368112807
16;2.05618657;-0.96754766;-0.8068821;-0.65785627;-0.8139711;1.61397126;0.34352466;0.92142727;0.39220579;0.7676057324405323;0.9526396201832062;0.7710346177761692;0.4787435182374317;0.465489504661524;0.34841084666598177;0.10828734006396434;0.05565814586660234;0.42983241025890906;0.06499555640675861
17;6.97751448;-0.56742814;-0.44978687;-0.35727763;-0.40443545;0.76714564;0.46028137;0.03522929;0.2916401;0.7344949082157314;0.9721447774537061;0.7944024361763127;0.5985533260572803;0.2979765635827736;0.2645127805610774;-0.09607678883744364;0.0011083021526060999;0.3980834421978534;0.07931934093588605
