,Subject,v0,v1,B,x0,sz
0,1.0,1.994459118069238,1.9199716542775487,0.29118273767051783,-0.19808316194652575,0.7309044697732916
1,2.0,1.2872739731196305,1.3779356634392228,0.21871925121412694,-0.33161484472952474,0.3032841805261196
2,3.0,2.1676467373558252,2.127083670439023,0.28379624524739067,-0.450940721875572,0.5333114586193983
3,4.0,2.125199487968802,1.632471672766117,0.14041191976461953,-0.08770906667216949,0.5972570692696735
4,5.0,1.2707805078517775,1.4865362667405901,0.2350030757468483,-0.1660984481444805,0.6374398994320352
5,6.0,1.7917181865632648,1.2361880679718904,0.3489293632413124,0.02940065530856506,0.7021473633958887
6,7.0,1.5082698287800231,1.3301718921430934,0.21118687697484584,-0.0571710967893555,0.47608819688642867
7,8.0,1.2837125180503624,1.273923492853282,0.2213687439324351,-0.1289360272680098,0.5012166201554703
8,9.0,1.0501690845862433,0.7266529149659218,0.18100273877064743,0.02963047618194592,0.36896649117552854
9,10.0,1.3759304841320843,1.519982768515452,0.19746955699189983,-0.18403327474102082,0.437906440500951
10,11.0,1.4015840769166017,1.4052538737321065,0.31521042152862855,-0.10316594805086554,0.6948867016941883
11,12.0,1.841645046224814,1.978586620181647,0.2100571632971413,-0.3001309889845434,0.49348051313568686
12,13.0,1.349099795904024,1.7800032424609065,0.22778877141863318,-0.12333328577014435,0.4969799902071948
13,14.0,1.0697245092604908,1.2753265334985935,0.17894816463230145,-0.21701989135382127,0.37988928387412285
14,15.0,1.5293636038307168,1.69276274552851,0.20323976290113854,-0.1800223345230637,0.2678733585589811
15,16.0,1.3650857587041298,1.3303364121263581,0.174473256425829,-0.12741564687479512,0.4557210987771695
16,17.0,1.6305650857353182,2.232564955546176,0.19846477072755497,-0.05282538824532257,0.7083167743795223
17,18.0,0.9910264048481303,0.925315294300936,0.2343799997976339,-0.1723880831242035,0.30704799072842864
18,19.0,1.235837992960957,1.3566339247887393,0.24293776152476865,-0.13214055388903545,0.6468651601856875
19,20.0,1.4474309540632022,1.2422241328513486,0.22894264025851274,-0.3370535847756886,0.043181058362606495
20,21.0,1.669412402135512,1.9864594564896267,0.2326807382965318,-0.4535859704973204,0.164358622524862
21,22.0,0.9629060850261619,0.8513751263264109,0.21843476409824125,0.094304028931949,0.4949267332958115
22,23.0,1.108281219906491,1.0780322669959848,0.18520312051702337,-0.11595356763792586,0.0019155049274823255
23,24.0,1.29505002579041,1.3027321208288782,0.18263281241980234,-0.06978658622425726,0.39912549014159254
24,25.0,1.6231577970139026,1.6216026551427623,0.3177596846997255,-0.06729626186569393,0.8142129853426514
