,Subject,m0,m1,a,tau,B,x0,sz,nondectime,halfwidth,umixturecoef
0,1.0,6.522505791719632,6.282049402414736,4.746233536425844,3.2621658652004704,1.6468357476023145,0.8325014666092496,0.46748922061081366,0.41727306206792264,0.08900940028993573,0.007289608745992119
1,2.0,6.1733003301724985,6.726597898565917,6.351049033452991,4.353177400187196,0.18074317520137395,-0.24148975162876996,0.23519582276793388,0.3619659423752818,0.09720005112614967,0.0
2,3.0,1.9611847231823767,1.7247764806936023,8.472768825187181,3.7215529444803805,0.47278210216987837,0.5405958085518774,0.08983836399474793,0.37827490243585865,0.06253519381960618,0.005127630772470351
3,4.0,4.399036335870479,1.995700152094892,4.792816155552626,3.5395699635928533,0.5284595213688132,0.7036132544837592,0.3448654859160617,0.3811098120462298,0.019297006920880655,0.016749827352371266
4,5.0,2.6045618652973004,3.097581689666011,5.266978793766074,1.5396951800562646,0.343929030517232,-0.17877722562282772,0.2795060213341533,0.40693905371038636,0.09483230341066487,0.0
5,6.0,6.627280343672657,4.849874885155735,1.8613418259178465,4.527824737128272,0.6431952169429767,0.2166932498875358,0.0656257296214443,0.3096581805995004,0.04210335538975623,0.0027941387674151248
6,7.0,1.857522696692319,1.1069075828840664,5.69039701483732,2.2903218375318666,0.9869970880605081,0.3700130081093791,0.4060509794281174,0.31439948785586946,0.003184547058555892,0.0062014662814957235
7,8.0,6.210556716675987,7.320544282085256,2.894329426964085,3.499206617123295,1.1800517435606517,0.30284624724165043,0.20353406909459137,0.19551672448373358,0.02436667636029055,0.014518365670693282
8,9.0,5.7674408723543875,4.913209574140932,3.5019092123435827,3.837114520780988,0.1602036418241064,0.06646865709475569,0.8133637064228509,0.3971685654020562,0.06782163933520649,0.0322953395852377
9,10.0,2.1920458160574388,3.5703721546181364,5.33054432151612,4.402081943155088,1.2752093107386355,0.7016136306671734,0.25543402897749645,0.3634094559664099,0.03165405938295886,0.01572213924304032
10,11.0,3.7785100785673933,3.5719220831554503,5.79700474646759,2.825811219464201,0.24264055737192347,0.13784751008696827,0.5872547989732934,0.4940820103701945,0.13608938223716205,0.0047281469622658875
11,12.0,4.700974381723651,5.680553186371591,8.119370364558131,3.871153827510933,0.9378836415409673,0.36034227629121274,0.2043299474461413,0.32996940099134753,0.05323857238723084,0.009534810068304376
12,13.0,6.87218764494657,8.503015493313649,9.278364635357743,3.7674638822202926,0.39354727677821755,-0.366363968313533,0.12714246784630723,0.2223696551589351,0.007763854753239832,0.0
13,14.0,5.089375261511759,6.358597694621151,5.692487668741184,3.6207872336286573,1.0986083501215325,0.09766018641230478,0.04401926965326186,0.11582233323239333,0.03833214359649624,0.05132070868728832
14,15.0,3.910291394570362,5.02609151050938,5.145721164701558,4.139910138251878,0.4298024457949876,0.5801981269755987,0.2003282280414962,0.37086179526164265,0.06510170853295523,0.0129903412583765
15,16.0,4.114887421409811,4.322636109865738,7.287754451607793,1.7031464134100487,0.2011237612720711,0.020569066729484442,0.8304841943737777,0.40787963672180927,0.08115030414833962,0.0
16,17.0,2.563564755387066,4.8147448153153745,4.167753700394807,3.3926939255899593,0.7435449421915907,0.6389124378408211,0.5423614500985026,0.28717695347359684,0.0019335951036867083,0.007573128544911272
17,18.0,7.047895828985505,6.913204209927603,8.636589265499428,4.118049528953034,0.4873462529219559,-0.38015228984604654,0.07803862152361063,0.27359642956800134,0.05232967289921028,0.009768893453483831
18,19.0,5.472590007502234,6.2817201965730876,8.249289860813178,3.0185485118072712,0.32900220012695414,-0.2764559724447865,0.5397224527763858,0.34844512511160297,0.09290143415332143,0.005081754142723917
19,20.0,4.037801613717616,4.387467058273613,8.437466536037942,4.6289399068701735,0.6082072313398903,0.41922994985842554,0.26539966391737885,0.4261125097081616,0.073210922541673,0.024205505420126592
20,21.0,4.903140023082494,6.792848421003022,4.42534742023084,4.249090257342814,0.851201928757745,0.4722927843981741,0.10102061765279197,0.33842101374637035,0.040751080836001034,0.016883985205133397
21,22.0,2.4660541153129687,3.159977880152214,4.000479343785768,4.951399910022574,0.35295060680572155,0.7394177148217811,0.5018960120217205,0.5007073960289979,0.10717807787718328,0.02011249425166237
22,23.0,0.9828898658762069,1.179298037449968,4.719239731243867,1.802497351092062,0.646736716384823,0.5172227467191437,0.7119712577139556,0.42185717389116933,0.06593212803766246,0.03272823703329486
23,24.0,4.231310077081112,4.2967141062367045,7.39364817026938,2.5802984394090434,0.25570172972495353,-0.057696519364194176,0.48317273339755,0.33683121033443014,0.04944985087046048,0.0
24,25.0,3.534026212837658,3.6419343640697766,0.20595458769234065,2.8340521158552745,0.5604264727246371,0.8125036978544993,0.7233144709880223,0.45224785822613534,0.13961121378730915,0.010441670834617597
