,Subject,k,z0,z1,a/B,x0,sz,nondectime,umixturecoef
0,1.0,3.8425985570268693,-0.9783464261153222,-0.9238338254922837,1.2399999498084362,0.17075347154977738,0.609017678634487,0.3249418113602235,0.007366590855072258
1,2.0,0.602243900606477,-0.645517786479142,-0.7566505305394087,2.9599999784965565,0.3869498929792312,0.6559543864301332,0.21295629229604168,0.027493565058350336
2,3.0,1.3948188530841588,-0.9306952224816654,-0.8961883832468407,2.0808019120026544,-0.24126319582119282,0.0190980862465554,0.15540766899342767,0.005134522411521718
3,4.0,1.8793671250059751,-0.9999997597715918,-0.613086882069433,2.0850562292007164,0.7488528541343478,0.17369596600088638,0.33843619556698507,0.015393136883850874
4,5.0,8.896962015563984,-0.9206972628690188,-0.9888844252413734,0.9449999795770975,-0.6671269010622818,0.0016674403741097632,0.18842837088130077,0.0
5,6.0,5.003053117066742,-0.9543659725978626,-0.5061760572031071,0.9164383978987585,0.2620197333871428,0.5242400402133749,0.3307117947617158,0.0030139725260497213
6,7.0,4.840535620063587,-0.7846453521105945,-0.5512155625279603,1.0230928510099464,0.3273687993942569,0.06317191939998335,0.2546387333746698,0.015573401212105667
7,8.0,4.172435520439984,-0.7555122358305819,-0.923514028609622,1.1933956703629918,-0.1738141804387937,0.34958205843880963,0.21292638151586626,0.016943513383967455
8,9.0,4.377014219843906,-0.7952937688155282,-0.6841841183382193,1.1721759600544317,0.6357039873926595,0.8938619507589328,0.33401728504623057,0.08009439155734382
9,10.0,1.5210071695728922,-0.5917195763359773,-0.841685846572857,1.999207799236224,0.3988317873409333,0.5087305387746002,0.3119879162162016,0.015126556628309265
10,11.0,1.3315981967489359,-0.8335707594947673,-0.9093450002625173,1.7299999404800301,0.5363757430051452,0.944830620834813,0.3656966997208211,0.010972546534612685
11,12.0,0.7470452985601002,-0.6835399800635786,-0.7951652755875637,3.5170448256179307,0.45843011579858395,0.908528661165571,0.3250490314025726,0.008703848732444265
12,13.0,7.4521826976918675,-0.6033464679520525,-0.9413318841292747,0.8450013167850411,0.1492331154768074,0.020752014681229725,0.19471717251276188,0.010382656616266701
13,14.0,0.5329200936018944,-0.714825826158721,-0.9686151993052272,3.0045238314734375,0.10840169083069662,0.17929492438113148,0.10771941405329227,0.04880455412190138
14,15.0,3.5912423931665334,-0.7015916777497602,-0.8894493465172781,1.2896642276644452,0.16304346383249158,0.06398945630100972,0.2331233474929465,0.01784647279260773
15,16.0,5.1266774359890475,-0.6371933321975397,-0.6666977293119933,1.3207392939199494,0.36548297263359864,0.850719861942121,0.307431225912007,0.03683621365112673
16,17.0,8.056699575475857,-0.5255340161253113,-0.9639992420146566,0.9463055732058911,0.3771128499575871,0.37453685023365896,0.23194080830136984,0.007570983357658642
17,18.0,9.921166649675063,-0.8553067325318803,-0.8449310650213813,0.7999999434190518,-0.5572283704204926,0.15383003310871318,0.176273521035906,0.008674172176088058
18,19.0,1.5805055615963552,-0.6922827303007062,-0.837264909831414,1.5962888191365794,-0.014027906170969495,0.007309642790052251,0.10347426003905491,0.029963360925953184
19,20.0,4.078923680996986,-0.779695081173815,-0.8273217610780709,1.1980503530796107,0.04914081324833597,0.2600461603941507,0.311233255154993,0.02455785908475863
20,21.0,2.227015312318344,-0.8595433420276843,-1.0,1.7007583375747328,-0.39177442068803714,0.1034073370479896,0.18167453551822266,0.013700202927974348
21,22.0,3.632152832807355,-0.741116575568628,-0.9129939163855554,0.9900052620862166,0.3795958439666005,0.1353628544891201,0.29487387312813595,0.023816881009952513
22,23.0,3.5053840792445365,-0.9234138275699385,-0.954253431282091,1.0786279871308901,0.2557128593405664,0.24088167197056176,0.2584637330911542,0.03650521950201882
23,24.0,3.019481288440881,-0.8123862491232114,-0.7415159691760731,1.256166298805213,0.5871145091656251,0.05393474802664805,0.25742254548588356,0.019791905023077434
24,25.0,4.413119387966534,-0.8065541924196027,-0.7610590608713579,0.9749999785481335,0.509986199861959,0.8722515447478244,0.3190489891790132,0.010423294894844398
