,Parameters,k,z,a/B,x0,sz,nondectime
0,b1,10.0,-0.5,5.0,-0.4097789920381083,0.9799174459266359,0.28517650951343254
1,b2,9.209876453876635,-0.5026509913450499,2.239871657435421,-0.45706693424034994,0.9082476726518848,0.26547822108119634
2,b3,9.977956794531144,-0.8429718976453031,0.34836250347448505,0.13892686723859415,0.5172945336129277,0.36040159896513235
3,b4,3.5901451261555577,-0.7831553775939226,0.47566941518305095,0.09751480223175646,0.38513010081131654,0.3529864901322761
4,b5,0.5245181198511037,-0.9005295364007124,0.8738410165230308,0.12012422781647158,0.08721418684909232,0.3845948812761693
5,st1,2.783273998263876,-0.9487786535624518,4.974839681084809,-0.9387744836243327,0.466798245661193,0.2112501427754136
6,st2,9.871928850981421,-0.5082685793962041,0.9699569979791676,-0.3694479610825554,0.6504656212511418,0.17673680876681086
7,st3,9.978996456947353,-0.5001812733644068,0.9498974960890874,0.0026104122332111235,0.9663414822212485,0.303639191845001
8,st4,5.757917395708285,-0.8553826726110221,2.036945252969618,-0.8235392048502158,0.4153981260134059,0.15759271663457952
9,st5,9.922661809372329,-0.9975014119976712,0.1645724963107078,0.1289517511630296,0.15514358736040945,0.24280407407640237
10,sv1,3.265316758074077,-0.9497139074867018,5.0,-0.9443565372791909,0.3305790587592179,0.21470482634704754
11,sv2,9.994725026529364,-0.500014562460904,0.9348423750997439,-0.10178335608717914,0.903166377594558,0.2575566341730233
12,sv3,9.998175512917063,-0.5008874418149805,0.9999624236648781,-0.2743690969563748,0.7853001890222593,0.21171781239226475
13,sv4,9.96768734942115,-0.998777740963196,0.154773243858489,0.1602642688788396,0.6889438263259128,0.32098107200628084
14,sv5,2.7562417937580035,-0.9544928533857975,4.979638207279951,-0.9418920393723167,0.4409920173455747,0.21555319083367136
15,sz1,9.882723692797647,-0.732810108411406,1.15451024769768,-0.6237323107915334,0.6120423275839079,0.1781586060114177
16,sz2,9.986406019953936,-0.9977721955327162,0.13997331816652148,0.2286533240016686,0.24357438837824308,0.3129342072295381
17,sz3,2.76486753687809,-0.9525219539537254,4.984999984100727,-0.9421787159187317,0.3718508049852122,0.2006463162447528
18,sz4,9.967484338606447,-0.5011003955137808,0.9286658970062249,-0.2391881627423339,0.7913876014637745,0.20086316950221628
19,sz5,3.2763330203931216,-0.9522298891176001,4.993203650061441,-0.947032078483231,0.16844543871302808,0.18731908440040407
20,v1,0.9175720057162717,-0.9751699044842996,0.14231482532108108,0.009708432132608191,0.44579639331530474,0.3139238233112618
21,v2,3.3724783388494064,-0.9347648781580403,4.486102410324393,-0.9341673966056723,0.13612378806502223,0.1837401196718355
22,v3,9.996449344436673,-0.9499762832623766,0.13984339371632348,0.08487662331486479,0.06426880452977013,0.30681256829719483
23,v4,9.893778659918063,-0.9239385870752945,0.1475738546041172,0.11194733228275155,0.3390511352095936,0.305752193912751
24,v5,9.311413966176648,-0.8490378914073566,1.4231630291903963,-0.7115519776934447,0.5991658451483768,0.21008140944658069
25,z1,9.125361621765522,-0.9967300532493142,0.13895848062169014,-0.777028220233202,0.043220550769067057,0.29931902624044593
26,z2,9.939622249596857,-0.9690844601178332,0.13350106173017862,-0.48706141174344875,0.6792614192470845,0.3017101778767971
27,z3,9.99279071799862,-0.9941119942038674,0.13934467356079816,-0.09400413742280245,0.5769834125040315,0.3184103579060107
28,z4,2.1692086569739555,-0.9420733769618852,4.8835166773142475,-0.9155384455780902,0.5375149648854265,0.20365078931656558
29,z5,2.167316498140264,-0.9539384546621666,5.0,-0.8491502729752601,0.8031679163821396,0.23737467400070655
