,Subject,l,m0,m1,B,x0,sz,nondectime,halfwidth,umixturecoef
0,1.0,7.5739905956685085,6.965214289656233,6.943881911968706,1.149105299059283,-0.24925370914666334,0.4499859803572693,0.38015232799495596,0.08084213305698057,0.007410763162439734
1,2.0,4.994921481480028,2.808238560618063,4.636644977471244,3.302056695832926,0.3845445313891167,0.5586756757068392,0.3463557974635747,0.06757688044998736,0.04058664719963605
2,3.0,9.6793931469609,4.719908900982538,4.622673041733896,1.3574347073921937,-0.12124583770774766,0.16982931650468153,0.2972114766568619,0.046059371974211706,0.004473640307442645
3,4.0,7.516478202712196,2.2910990496202825,1.7975105528720166,0.20348991256142934,-0.16430714214589137,0.37759272575791497,0.3682327555542707,0.014224483720619838,0.0
4,5.0,3.528781142108416,2.044640582768931,2.919664146618584,1.8103349722536393,0.18802168976610378,0.18907780382075334,0.32166074455697813,0.09589334112915125,0.03811071068171671
5,6.0,0.6683506123652981,1.7756653522588348,1.2282007211409274,0.6940478961309258,0.2938597594393031,0.44177138704071234,0.36638917382774017,0.04311730181610349,0.002890669202455187
6,7.0,6.720809972638139,4.996425176326326,4.790614590390484,0.7641807952230177,-0.2578800215565864,0.696756425214041,0.34047006955813425,0.042828362412834366,0.0
7,8.0,4.864704330327073,2.8022877116856155,3.9847520373383314,1.8513963866523155,0.2101537186126894,0.37968997836416996,0.34321089105727826,0.08003285155155075,0.0149658119545857
8,9.0,8.177061026661631,2.543121627871647,2.3858021210859457,0.3143453943007706,-0.2798856034630458,0.6008667204097708,0.35647284839423726,0.07837826253664548,0.034817029622161516
9,10.0,4.048889155763585,1.806108598252575,2.3826945786547427,1.6244375815080412,0.22858023228771818,0.25269354357326995,0.3206981034268862,0.03993460442247568,0.020306081000229716
10,11.0,7.604307308614598,7.601049014944508,7.449609581777928,1.047595586154706,-0.47966633176575724,0.6923261152027715,0.41191491386827633,0.14990240157991855,0.004249166557722062
11,12.0,9.010441045909465,2.097473315711648,3.3860852442834823,4.6956572589390255,0.23956239005166236,0.2520338076302298,0.35349973481466895,0.05662809158953147,0.010417471333147747
12,13.0,5.907324976961922,3.1263873898510117,3.643185083392504,0.753274264343232,-0.3950522112363989,0.24913402834585452,0.1789538545649202,0.0009506624793322871,0.0
13,14.0,9.688665572148585,2.851230875623031,2.9639148216313886,0.31083502399651275,-0.0770075334419239,0.7778253545563079,0.3657949089748437,0.09972009329723777,0.0016837618066417297
14,15.0,3.8619420615955975,0.8605931388741459,1.1411184090966286,0.4226251629188482,0.4226648207150623,0.15191870996968432,0.35273290836755644,0.05047860973068588,0.013166176671857478
15,16.0,9.923151296143361,1.5009919379651184,3.2067229951098373,2.5795500281863313,0.42526392015770864,0.6956910247424919,0.38681643292738643,0.06505762190447763,0.039493163232587544
16,17.0,1.2453165971436837,1.2652869853501212,1.9629256475112475,0.15123857495676996,0.22619629928504303,0.6382185947766654,0.33610932774889357,0.059045445774276874,0.0
17,18.0,6.272790077700936,7.940323144311002,7.877247574554323,1.4598915664957153,-0.682462891360146,0.4167271425954576,0.23941766457291766,0.09136489411569376,0.019065453973945497
18,19.0,9.5563829719025,2.864035940149583,1.0682359133262311,4.551894757368627,0.4562142619934364,0.8601927025135554,0.43343319926609264,0.11335598328603445,0.030052313237761794
19,20.0,7.250980383776023,2.4482154916655197,2.562282430393189,1.4518087307498737,-0.005047821844608724,0.11523018259459933,0.3403989442253633,0.06307247612361744,0.022888371336315032
20,21.0,6.344933470104374,5.648879041592349,6.524594491699599,1.894205439850142,-0.20326806389396657,0.17184676795776677,0.26920130408059195,0.04711208425355312,0.016958426141642946
21,22.0,8.623429602790228,7.151634641451806,7.371696718347401,3.0804885636914947,0.085337465915311,0.3774869324531101,0.42507690551293226,0.08524933312652151,0.023902439207352577
22,23.0,9.79578423198167,7.21001392537031,6.72841542721328,4.017097234905106,0.16929110903925682,0.3821350240734039,0.3991477453607632,0.07218134743839245,0.040514752448039336
23,24.0,10.0,6.274116982038713,6.224334587598551,4.228190934998706,0.31804173014189363,0.6462092628914446,0.362824338539209,0.05077539327623953,0.020043978396038147
24,25.0,8.6794521965337,9.488067023385774,9.498104362795049,1.0759557646175149,-0.023109637977006048,0.9575227832950065,0.44482442902811853,0.12315632217725699,0.0
