,Subject,l,m0,m1,B,x0,sz,nondectime
0,1.0,4.3581499338331575,3.8230197499112193,3.7904675098181104,0.7369446583343462,-0.5848711535304545,0.4771435285237686,0.24471053911135807
1,2.0,6.113434110451034,6.1129021790023055,6.218501791438604,1.367250862128302,-0.5700411609737914,0.19083849851988122,0.10338194688832997
2,3.0,6.558611530927608,4.256886743835925,4.2073204241953785,0.636132698003588,-0.6396359245041756,0.0033538987658127684,0.2227188706121941
3,4.0,5.008965350738226,2.027970170065534,1.6041127168635998,0.18433322413508302,-0.15254737303428756,0.26909169414005357,0.36175320946036055
4,5.0,5.498988448097531,4.945303916376618,5.209894229856245,1.168604811281735,-0.5960005983517037,0.12312170217019286,0.16375697100867803
5,6.0,3.4687389128492407,4.6291431546321045,4.110098714721049,1.332702268621969,-0.5895248907567521,0.38323411328718965,0.1369067105785265
6,7.0,5.948605642258637,5.507068427297835,5.214833701973955,1.0381128581911154,-0.4614474538452866,0.47420791850789035,0.24145612617516068
7,8.0,5.483353300323892,6.464690073283629,6.79769108939508,1.3051079638341525,-0.6931077360563282,0.34288665545531716,0.12553373697237746
8,9.0,5.239081251519641,1.9441816499056928,1.797594541643687,0.5754151662868221,-0.27702416073762937,0.16185542275996223,0.20322216511204444
9,10.0,7.0013653651251735,5.0883618430691016,5.376211743201222,0.8742465201348026,-0.6235737054717343,0.07499582365531121,0.23941988939921632
10,11.0,3.134345521108538,2.812578233321335,2.813248654343282,0.8873464673289229,-0.5994687768566787,0.0425942243788503,0.10430376989987261
11,12.0,6.701022646597934,4.000692219577417,4.181473225988797,0.6426683968103759,-0.5228474098884128,0.24530108095988928,0.2601492121790917
12,13.0,5.907333861316245,2.864545977847334,3.345014886769853,0.5970024147827131,-0.46338533344184096,0.22449338660628937,0.1852591912885046
13,14.0,8.509359558664496,7.922159252707392,8.247783001314405,1.5312475658974651,-0.5337879693791605,0.04191961903657637,0.10213620674627899
14,15.0,8.786461944851416,8.681966591740858,8.93067316625533,1.2332168844656721,-0.6633908578884002,0.12382492527467137,0.18413919519071997
15,16.0,8.980031928601084,6.718195395240784,6.6594421509748605,1.0380682689627143,-0.5775746758306919,0.08187441347388058,0.18496660854070912
16,17.0,8.634555474826472,6.654906105480532,7.641452220806899,1.0459849727204122,-0.43866479223869925,0.40886622455858845,0.20783845352996988
17,18.0,4.412894892139702,3.0190885430947296,2.986235357878795,0.8965370921573941,-0.5174027201933822,0.138816177377049,0.15701734178947158
18,19.0,5.980816652427615,6.208627742042906,6.5217445933724445,1.2981635140713894,-0.6551062700842982,0.22855845793601853,0.11253737016824694
19,20.0,6.4232413093875875,5.761087138731854,5.746653882049366,1.1686130372962589,-0.5762963480853589,0.14905469668417176,0.22796693142052737
20,21.0,6.85527687928741,7.413137539763535,7.7771016498393175,1.24270851913274,-0.7097819095620311,0.13792677151853017,0.17631384083275198
21,22.0,4.6320573194897054,2.7506230517119254,2.8522924222035195,0.835379027758008,-0.4440621405169587,0.13758627949644142,0.19131859816334978
22,23.0,6.346352868666874,5.747868358420308,5.7610663974370375,1.2228940092159877,-0.5752844171543305,0.14949417009197963,0.16346870716912976
23,24.0,8.732875110951289,7.975820952218582,7.978555182514599,1.1994471304423915,-0.4997074213592245,0.426136117855809,0.23882763635177473
24,25.0,2.460799090078067,2.0675649618335816,2.089335984725026,0.49570408677263655,-0.3328716091582662,0.7078807143081386,0.25390059861980563
